2010/07/08,861.02,861.02,861.02,861.02,861.02,861.02
2010/07/09,861.21,861.21,861.21,861.21,861.21,861.21
2010/07/12,857.7,857.7,857.7,857.7,857.7,857.7
2010/07/13,854.39,854.39,854.39,854.39,854.39,854.39
2010/07/14,870.73,870.73,870.73,870.73,870.73,870.73
2010/07/15,856.6,856.6,856.6,856.6,856.6,856.6
2010/07/16,840.58,840.58,840.58,840.58,840.58,840.58
2010/07/20,832.26,832.26,832.26,832.26,832.26,832.26
2010/07/21,829.35,829.35,829.35,829.35,829.35,829.35
2010/07/22,825.48,825.48,825.48,825.48,825.48,825.48
2010/07/23,841.29,841.29,841.29,841.29,841.29,841.29
2010/07/26,845.88,845.88,845.88,845.88,845.88,845.88
2010/07/27,846.12,846.12,846.12,846.12,846.12,846.12
2010/07/28,865.51,865.51,865.51,865.51,865.51,865.51
2010/07/29,861.27,861.27,861.27,861.27,861.27,861.27
2010/07/30,849.5,849.5,849.5,849.5,849.5,849.5
2010/08/02,850.69,850.69,850.69,850.69,850.69,850.69
2010/08/03,859.18,859.18,859.18,859.18,859.18,859.18
2010/08/04,845.93,845.93,845.93,845.93,845.93,845.93
2010/08/05,857.09,857.09,857.09,857.09,857.09,857.09
2010/08/06,861.17,861.17,861.17,861.17,861.17,861.17
2010/08/09,857.62,857.62,857.62,857.62,857.62,857.62
2010/08/10,854.68,854.68,854.68,854.68,854.68,854.68
2010/08/11,834.45,834.45,834.45,834.45,834.45,834.45
2010/08/12,827.78,827.78,827.78,827.78,827.78,827.78
2010/08/13,831.24,831.24,831.24,831.24,831.24,831.24
2010/08/16,828.63,828.63,828.63,828.63,828.63,828.63
2010/08/17,826.78,826.78,826.78,826.78,826.78,826.78
2010/08/18,835.23,835.23,835.23,835.23,835.23,835.23
2010/08/19,843.98,843.98,843.98,843.98,843.98,843.98
2010/08/20,829.59,829.59,829.59,829.59,829.59,829.59
2010/08/23,824.79,824.79,824.79,824.79,824.79,824.79
2010/08/24,817.73,817.73,817.73,817.73,817.73,817.73
2010/08/25,807.31,807.31,807.31,807.31,807.31,807.31
2010/08/26,811.79,811.79,811.79,811.79,811.79,811.79
2010/08/27,819.62,819.62,819.62,819.62,819.62,819.62
2010/08/30,829.21,829.21,829.21,829.21,829.21,829.21
2010/08/31,804.67,804.67,804.67,804.67,804.67,804.67
